hdi-rank,group,label,gii-value,gii-rank,gii-parliament,population,life-expectancy,health-expend,edu-secondary,edu-tertiary,gdp-total,gdp-capita,price-index,labor-rate,unemployment,homicide,suicide-female,suicide-male,trade,foreign-invest,intl-student,intl-tourist,fossil-fuel,co2-gdp
53,Countries,Belarus,0.118,31,34.940,9.452,65.062,5.926,92.217,87.429,181.287,"19,149.638",,64.131,4.595,2.391,6.2,39.3,133.346,2.019,-1.156,"11,502",92.440,0.338
54,Countries,Turkey,0.306,68,17.450,83.430,67.814,4.216,60.346,,"2,349.995","28,167.397",234.437,52.829,13.490,2.590,3.2,11.3,61.395,1.117,0.859,"45,768",86.843,0.192
55,Countries,Uruguay,0.288,62,20.930,3.462,67.447,9.296,56.832,63.126,74.639,"21,561.062",202.922,64.021,8.731,12.060,7.1,26.8,41.030,1.338,,"3,469",46.270,0.084
56,Countries,Bulgaria,0.206,48,25.833,7.000,64.582,8.096,95.498,71.031,161.080,"23,091.342",114.418,55.367,4.340,1.305,3.2,13.1,123.723,2.214,-4.474,"9,273",71.046,0.333
57,Countries,Panama,0.407,94,21.127,4.246,69.245,7.319,72.204,47.799,133.587,"31,458.693",122.069,66.589,3.902,9.385,1.2,7.6,89.392,9.084,,"1,785",80.713,0.107
58,Countries,Bahamas,0.341,77,21.818,0.389,64.238,5.759,88.438,,13.937,"35,782.798",116.219,74.559,10.360,31.958,0.5,2.8,77.350,3.955,,"1,633",,
58,Countries,Barbados,0.252,56,29.412,0.287,66.700,6.779,93.151,,4.489,"15,638.830",134.091,65.227,10.331,9.768,0.3,0.8,83.692,3.836,3.856,680,,
60,Countries,Oman,0.306,68,9.884,4.975,64.759,3.849,66.633,38.036,138.784,"27,896.337",113.529,72.369,2.671,0.269,0.9,4.8,100.686,8.000,-9.312,"2,301",99.963,0.380
61,Countries,Georgia,0.331,76,14.765,3.997,64.491,7.602,97.952,63.916,55.859,"15,014.288",133.612,68.330,14.398,2.223,1.9,12.3,116.869,7.152,-2.318,"4,757",72.210,0.246
62,Countries,Costa Rica,0.288,62,45.614,5.048,69.380,7.329,54.443,55.208,99.146,"19,642.418",128.846,62.099,11.854,11.261,2.3,12.8,66.099,4.058,,"3,017",49.880,0.101
62,Countries,Malaysia,0.253,59,15.517,31.950,65.651,3.859,74.725,45.125,905.795,"28,350.590",121.463,64.289,3.324,2.128,3.6,8.7,123.091,2.390,3.004,"25,832",96.628,0.254
64,Countries,Kuwait,0.242,53,4.615,4.207,70.251,5.291,51.527,54.364,209.707,"49,846.144",126.602,73.493,2.182,,1.7,2.5,100.488,-0.015,,"8,508",93.690,0.337
64,Countries,Serbia,0.132,35,37.652,8.772,66.326,8.434,89.800,67.159,126.258,"18,179.775",143.998,54.876,12.686,1.227,5.2,17.3,112.644,8.329,-1.438,"1,711",83.871,0.491
66,Countries,Mauritius,0.347,78,20.000,1.270,65.154,5.719,67.200,40.596,29.098,"22,989.342",129.914,58.313,6.674,2.920,2.2,12.5,92.809,2.620,-16.927,"1,399",84.542,0.166
67,Countries,Seychelles,,,21.212,0.098,64.362,5.007,,17.080,2.837,"29,055.749",129.958,,,12.538,2.1,15.0,155.246,13.873,-37.145,362,,
67,Countries,Trinidad and Tobago,0.323,73,32.877,1.395,65.185,6.979,73.458,,36.515,"26,175.952",141.753,59.957,2.686,30.650,4.3,21.9,,-2.948,,375,99.920,0.467
69,Countries,Albania,0.181,42,29.508,2.881,68.859,,93.174,54.961,39.850,"13,961.797",119.049,55.732,12.331,2.289,4.3,7.0,76.728,7.912,-13.852,"5,340",61.422,0.132
70,Countries,Cuba,0.304,67,53.223,11.333,68.429,11.711,87.900,41.379,,,,53.581,1.638,5.046,4.1,16.4,27.095,,4.094,"4,684",85.596,0.112
70,Countries,Iran (Islamic Republic of),0.459,113,5.882,82.914,66.829,8.660,70.153,68.116,"1,172.666","14,535.863",550.929,44.665,11.382,2.499,3.1,4.9,48.781,1.127,-0.784,"7,295",99.023,0.376
72,Countries,Sri Lanka,0.401,90,5.333,21.324,66.946,3.811,80.025,19.630,285.142,"13,078.098",155.529,53.915,4.198,2.421,6.2,23.3,52.371,1.821,-6.686,"2,334",50.546,0.094
73,Countries,Bosnia and Herzegovina,0.149,38,21.053,3.301,66.959,8.932,81.363,,49.168,"14,894.787",104.896,46.395,18.425,1.173,2.5,10.6,95.881,2.576,-5.687,"1,053",77.522,0.567
74,Countries,Grenada,,,39.286,0.112,64.026,4.757,0.000,104.562,1.931,"17,241.532",107.426,,,10.823,1.0,2.1,110.048,13.156,65.933,185,,
74,Countries,Mexico,0.322,71,48.408,127.576,65.356,5.517,63.167,40.229,"2,519.162","19,746.436",141.543,60.680,3.425,29.071,2.3,8.2,78.176,2.295,-0.221,"41,313",90.426,0.211
74,Countries,Saint Kitts and Nevis,,,13.333,0.053,63.114,5.037,,86.681,1.392,"26,356.551",104.565,,,,,,122.671,9.255,61.302,125,,
74,Countries,Ukraine,0.234,52,20.519,43.994,64.622,6.995,94.597,82.671,538.388,"12,810.289",281.659,54.151,8.882,6.184,4.7,34.5,90.174,1.979,-1.492,"14,104",75.350,0.520
78,Countries,Antigua and Barbuda,,,31.429,0.097,66.620,4.534,,,2.128,"21,908.459",113.808,,,,0.9,0.0,90.185,8.390,-19.866,269,,
79,Countries,Peru,0.395,87,30.000,32.510,69.904,4.995,64.095,70.738,417.691,"12,847.885",129.785,77.633,3.310,7.909,2.7,7.6,47.122,2.922,,"4,419",79.556,0.129
79,Countries,Thailand,0.359,80,14.133,69.626,68.400,3.746,45.909,49.287,"1,285.504","18,463.094",113.266,67.326,0.754,2.582,4.8,21.4,110.299,1.162,0.033,"38,178",79.839,0.222
81,Countries,Armenia,0.245,54,23.485,2.958,66.637,10.363,97.222,54.570,40.384,"13,653.750",129.176,55.624,16.990,1.694,2.0,10.1,91.432,1.861,-1.314,"1,652",74.562,0.205
82,Countries,North Macedonia,0.143,37,39.167,2.083,65.380,6.062,49.926,42.460,34.390,"16,506.085",113.396,55.094,17.759,1.200,3.0,9.7,137.277,3.757,-3.955,707,79.426,0.274
83,Countries,Colombia,0.428,101,19.565,50.339,69.570,7.226,54.744,55.327,741.545,"14,730.885",140.950,68.771,9.707,25.344,2.8,11.5,38.095,4.476,-1.630,"3,904",76.686,0.119
84,Countries,Brazil,0.408,95,14.983,211.050,65.199,9.467,60.372,51.344,"3,092.217","14,651.616",167.398,63.884,12.083,27.383,2.8,9.7,28.977,4.270,-0.445,"6,621",59.108,0.148
85,Countries,China,0.168,39,24.941,"1,433.784",68.526,5.151,79.151,50.604,"22,526.559","16,116.704",125.083,67.987,4.320,0.527,8.3,7.9,35.680,1.086,-1.747,"62,900",87.670,0.445
